name,image_num,productID,price,inventory,sell_num,seller_ID,reputation,QA,buyer_num,payment,status,location,upload-time,buylimit,start_price,end,delivery,all_sell_num,update-time,a,b,c,d
保證 最高規 iPhone 11 X 8 7 6 充電線 傳輸線 for iPhone iPad 線 快充線 保固一年,9,21306013652122,$180,56,37118,qqn78,49911,1867,18884,"['保證 最高規 iPhone 11 X 8 7 6 充電線 傳輸線 for iPhone iPad 線 快充線 保固一年', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2013-06-01 00:54:08,0,$180元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅配/快遞', '55', '元貨到付款', '85', '元面交取貨付款']",45,2019-10-22 00:24:07,21306013652122,廣告,"['col3f', 's_shining', 'isImpress']",591
MCDODO QC4.0 iPhone TypeC 快充線 捲線 彈簧線 180cm 快速充電 編織線 車用充電線,9,21919391256750,$199,99,4302,xnetcr95277,31236,2,103,"['MCDODO QC4.0 iPhone TypeC 快充線 捲線 彈簧線 180cm 快速充電 編織線 車用充電線', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.桃園市,上架時間： 2019-05-08 15:52:28,0,$199元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$60郵寄寄送', '39', '元宅配/快遞', '80', '元']",154,2019-07-24 20:53:07,21919391256750,廣告,['col3f'],41
【防止過充！自動斷電充電線】蘋果專用 編織不打結 iphone 充電線 快充2.4A lightning,9,21904684329839,$269 - $288,99,1601,dodo790119,126508,14,479,"['【防止過充！自動斷電充電線】蘋果專用 編織不打結 iphone 充電線 快充2.4A lightning', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2019-01-24 11:37:30,0,$269 - 288元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡3\xa0期0 利率每期', '90\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '59', '元7-11取貨付款', '59', '元便利帶隔日配一日到貨說明', '55', '元', '活動１日到貨！原價$70↘限量$607-11取貨', '59', '元宅配/快遞', '79', '元貨到付款', '119', '元面交取貨付款']",926,2019-11-07 10:17:31,21904684329839,廣告,['col3f'],225
蘋果 Apple快充【PD+QC3.0快充組】mcdodo 麥多多 28W快充頭+快充線 iPhone充電線 PD 快充,9,21707288442128,$550 - $790,54,111,mmxcdboy123,3360,16,110,"['蘋果 Apple快充【PD+QC3.0快充組】mcdodo 麥多多 28W快充頭+快充線 iPhone充電線 PD 快充', '賣家保固 ', '專櫃正品 ', '可開收據 ', '附保證書 ', '有多種尺寸 ', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '銀行或郵局轉帳', '郵局無摺存款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2017-02-19 09:45:14,0,$550 - 790元,可能會提前結束販售,"['賣家保固', '專櫃正品', '可開收據', '附保證書', '有多種尺寸', '支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡3\xa0期0 利率每期', '184\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」銀行或郵局轉帳郵局無摺存款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '65', '元7-11取貨', '65', '元宅急便「黑貓PAY貨到付款」', '100', '元郵局快捷貨到付款', '200', '元郵寄寄送', '55', '元宅配/快遞', '100', '元離島寄送', '80', '元']",294,2019-12-24 15:44:12,21707288442128,廣告,['col3f'],56
【最新】360度無死角超吸快充 磁吸充電線 蘋果/安卓/Type-c 充電線 iphone充電線 oppo APPLE,9,21807687309214,$69 - $199,99,14566,jason810046,14574,651,6112,"['【最新】360度無死角超吸快充 磁吸充電線 蘋果/安卓/Type-c 充電線 iphone充電線 oppo APPLE', '賣家保固 ', '公司貨 ', '有多種尺寸 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.桃園市,上架時間： 2018-02-16 15:20:16,近半年棄標次數 ≦ 3次,$69 - 199元,可能會提前結束販售,"['賣家保固', '公司貨', '有多種尺寸', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$607-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '80', '元離島寄送', '150', '元']",71,2019-11-12 10:01:25,21807687309214,廣告,"['col3f', 's_shining']",4800
蘋果 套餐組 旅充組《充電器+傳輸線》保固1年 iPhone 11 X 8 7 6 iPhone充電線 Apple充電線,9,21445663189650,$210 - $370,99,169,mmxcdboy123,3360,12,131,"['蘋果 套餐組 旅充組《充電器+傳輸線》保固1年 iPhone 11 X 8 7 6 iPhone充電線 Apple充電線', '賣家保固 ', '可開收據 ', '有多種尺寸 ', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '銀行或郵局轉帳', '郵局無摺存款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台北市,上架時間： 2014-11-06 19:15:55,0,$210 - 370元,可能會提前結束販售,"['賣家保固', '可開收據', '有多種尺寸', '支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡3\xa0期0 利率每期', '70\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」銀行或郵局轉帳郵局無摺存款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '65', '元7-11取貨', '65', '元宅急便「黑貓PAY貨到付款」', '100', '元郵局快捷貨到付款', '200', '元郵寄寄送', '55', '元宅配/快遞', '100', '元離島寄送', '80', '元']",294,2019-12-18 22:37:53,21445663189650,廣告,['col3f'],55
【第二代升級版智慧線】麥多多 蘋果智慧斷電+自動補電有燈號蘋果智能iPhone數據充電線2.4A防止過充快充線,9,21909976617793,$165 - $185,99,193,miicase,7458,5,168,"['【第二代升級版智慧線】麥多多 蘋果智慧斷電+自動補電有燈號蘋果智能iPhone數據充電線2.4A防止過充快充線', '賣家保固 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2019-02-27 11:00:39,評價總分必須 ≧ 0分,$165 - 185元,可能會提前結束販售,"['賣家保固', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅配/快遞', '90', '元']",161,2019-11-30 08:41:51,21909976617793,廣告,['col3f'],68
☆天價屋☆ iPhone 11 X 8 7 6 5 充電線 快充線 for iPhone iPad 傳輸線 線 保固一年,9,21103186153236,$150,99,37293,qqn78,49911,2060,16835,"['☆天價屋☆ iPhone 11 X 8 7 6 5 充電線 快充線 for iPhone iPad 傳輸線 線 保固一年', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2011-03-18 22:09:40,0,$150元,可能會提前結束販售,"['支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅配/快遞', '55', '元貨到付款', '85', '元面交取貨付款']",45,2019-11-08 11:35:37,21103186153236,廣告,"['col3f', 's_shining']",487
保證原廠品質 iPhone 充電線 11 pro MAX XR XS 8 7 6 5 plus iPad線 Apple,8,21836602202833,$150 - $340,99,1268,bulaoshi1125,426,51,844,"['保證原廠品質 iPhone 充電線 11 pro MAX XR XS 8 7 6 5 plus iPad線 Apple', '原廠保固 ', '專櫃正品 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '郵局無摺存款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.桃園市,上架時間： 2018-09-07 11:13:45,0,$150 - 340元,可能會提前結束販售,"['原廠保固', '專櫃正品', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡3\xa0期0 利率每期', '50\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳郵局無摺存款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元']",23,2019-10-09 10:14:40,21836602202833,優先,"['col3f', 's_shining']",148
犀牛盾 MFi 蘋果原廠認證 iPhone 充電線 支援iOS升級 快充線 Apple認證 iPad 傳輸線 ARZ,7,21405087384787,$280,99,10626,yuyu_sheng,226874,340,5488,"['犀牛盾 MFi 蘋果原廠認證 iPhone 充電線 支援iOS升級 快充線 Apple認證 iPad 傳輸線 ARZ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.高雄市,上架時間： 2014-05-08 20:47:10,0,$280元,可能會提前結束販售,"['Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡6\xa0期0 利率每期', '47\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元便利帶隔日配一日到貨說明', '70', '元', '活動１日到貨！原價$70↘限量$60宅配/快遞', '100', '元']",1061,2020-01-06 15:16:22,21405087384787,優先,['col3f'],73
(金士曼) 加長版 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星,7,21926848841788,$95,99,25,zazalas1,2446,0,19,"['(金士曼) 加長版 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星', '賣家保固 ', '可開發票 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-06-24 22:02:08,評價總分必須 ≧ 0分,$95元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-01 15:03:59,21904684329839,廣告,['col3f'],4
(金士曼) 高穩定 分線器 Lightning 轉接頭 耳機 聽歌 手機 通話 充電線 轉接線 Iphone 分線器,8,21917121633398,$165,99,70,zazalas1,2446,3,68,"['(金士曼) 高穩定 分線器 Lightning 轉接頭 耳機 聽歌 手機 通話 充電線 轉接線 Iphone 分線器', '賣家保固 ', '可開發票 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-04-24 20:48:35,評價總分必須 ≧ 0分,$165元,可能會提前結束販售,"['賣家保固', '可開發票', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-10-17 13:03:40,21904694218815,廣告,['col3f'],49
(金士曼) 磁吸充電線 安卓充電線 TYPE-C充電線 IPHONE充電線 磁吸 充電線 磁吸線,8,21932363483060,$100,99,91,zazalas1,2446,4,59,"['(金士曼) 磁吸充電線 安卓充電線 TYPE-C充電線 IPHONE充電線 磁吸 充電線 磁吸線', '賣家保固 ', '可開發票 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-08-07 00:10:54,評價總分必須 ≧ 0分,$100元,可能會提前結束販售,"['賣家保固', '可開發票', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-29 12:57:40,21445663189650,廣告,['col3f'],25
(金士曼) 智能斷電 傳輸線 充電線 數據線 安卓充電線 Type-C充電線 適用於 IPhone Oppo 三星 小米,7,21918315765884,$190,99,60,zazalas1,2446,7,51,"['(金士曼) 智能斷電 傳輸線 充電線 數據線 安卓充電線 Type-C充電線 適用於 IPhone Oppo 三星 小米', '賣家保固 ', '可開發票 ', '有多種尺寸 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-05-01 19:44:21,評價總分必須 ≧ 0分,$190元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種尺寸', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-03 17:49:01,21707288442128,廣告,['col3f'],25
安卓 蘋果編織充電線 Type-C Lightning 2A電流 快充線 充電線 手機傳輸數據線充電線 iphone,9,21948952342975,$109,19,1,camellia238,515,0,1,"['安卓 蘋果編織充電線 Type-C Lightning 2A電流 快充線 充電線 手機傳輸數據線充電線 iphone', '有多種顏色 ', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.高雄市,上架時間： 2019-11-29 10:08:53,0,$109元,可能會提前結束販售,"['有多種顏色', '支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元郵寄寄送', '60', '元面交取貨面交取貨付款']",172,0,21306013652122,廣告,"['col3f', 's_shining']",0
(金士曼) 編織線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星,7,21917114904289,$80,99,23,zazalas1,2446,0,23,"['(金士曼) 編織線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星', '賣家保固 ', '可開發票 ', '有多種尺寸 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-04-24 15:50:51,評價總分必須 ≧ 0分,$80元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種尺寸', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-10-09 19:13:18,21203025900419,廣告,['col3f'],6
【coni shop】現貨 蘋果1米Lightning傳輸線 送2線套 充電線 1m iPhone7 8 Plus X,6,21403239853213,$150,99,1076,shultz2120,12663,95,541,"['【coni shop】現貨 蘋果1米Lightning傳輸線 送2線套 充電線 1m iPhone7 8 Plus X', '附禮盒 / 提袋 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', '', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2014-03-23 00:02:26,0,$150元,可能會提前結束販售,"['附禮盒 / 提袋', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡12\xa0期0 利率每期', '13\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '70', '元7-11取貨付款', '70', '元郵寄寄送', '60', '元宅配/快遞', '60', '元離島寄送', '60', '元貨到付款', '100', '元面交取貨面交取貨付款']",412,2019-07-29 16:39:06,21909976433216,廣告,['col3f'],79
(金士曼) 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星,7,21917114660446,$70,99,132,zazalas1,2446,2,92,"['(金士曼) 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星', '賣家保固 ', '可開發票 ', '有多種尺寸 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-04-24 15:39:23,評價總分必須 ≧ 0分,$70元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種尺寸', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-26 12:17:01,21949986707350,廣告,['col3f'],18
Type-C to Lightning  蘋果充電線 iPhone 充電線 TypeC 傳輸線 1.2米【K38】,9,21851254216175,$250,79,67,andthenqq88,30332,7,57,"['Type-C to Lightning  蘋果充電線 iPhone 充電線 TypeC 傳輸線 1.2米【K38】', '公司貨 ', '可開發票 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台南市,上架時間： 2018-12-17 11:51:42,0,$250元,可能會提前結束販售,"['公司貨', '可開發票', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '90', '元7-11取貨', '80', '元宅配/快遞', '90', '元']",685,2019-10-02 15:39:04,21918315862589,,['col3f'],113
🔰超值現貨 iPhone充電線保護套 本店福利 老闆賠錢賣 全色系現貨 延長線材壽命 蘋果數據線保護套 傳輸線保護套,8,21910076532691,$3,99,73,cityphone,147,0,19,"['🔰超值現貨 iPhone充電線保護套 本店福利 老闆賠錢賣 全色系現貨 延長線材壽命 蘋果數據線保護套 傳輸線保護套', '海外運送 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2019-03-05 16:52:15,0,$3元,可能會提前結束販售,"['海外運送', 'Pi 拍錢包X支付連', '最高P幣 2.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元']",33,2019-09-04 17:16:37,21827314939953,,['col3f'],1
